Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,4,302,10392,6920,1567,1241,0.446,0.353,0.793,34.4,22.9,5.2,4.1,16.5,0.076,0.9,7.7
2,2,GSW,James Wiseman,Memphis,3,147,2794,1344,829,110,0.56,0.267,0.681,19.0,9.1,5.6,0.7,4.3,0.073,-3.9,-1.4
3,3,CHO,LaMelo Ball,,4,184,5870,3675,1147,1364,0.427,0.374,0.834,31.9,20.0,6.2,7.4,11.6,0.095,2.8,7.1
4,4,CHI,Patrick Williams,Florida State,4,213,5902,2070,889,280,0.469,0.41,0.78,27.7,9.7,4.2,1.3,8.0,0.065,-1.9,0.2
5,5,CLE,Isaac Okoro,Auburn,4,279,7693,2371,800,468,0.467,0.347,0.732,27.6,8.5,2.9,1.7,13.5,0.084,-2.2,-0.4
6,6,ATL,Onyeka Okongwu,USC,4,233,4847,1972,1398,226,0.64,0.318,0.754,20.8,8.5,6.0,1.0,17.7,0.175,0.2,2.7
7,7,DET,Killian Hayes,,4,210,5479,1704,619,1090,0.382,0.277,0.775,26.1,8.1,2.9,5.2,-0.5,-0.004,-3.9,-2.7
8,8,NYK,Obi Toppin,Dayton,4,283,4693,2241,913,300,0.52,0.351,0.768,16.6,7.9,3.2,1.1,12.3,0.126,0.9,3.4
9,9,WAS,Deni Avdija,,4,287,7518,2826,1714,727,0.457,0.327,0.737,26.2,9.8,6.0,2.5,9.1,0.058,-1.9,0.3
10,10,PHO,Jalen Smith,Maryland,4,207,3406,1766,1075,157,0.517,0.335,0.74,16.5,8.5,5.2,0.8,9.1,0.128,-0.4,1.3
11,11,SAS,Devin Vassell,Florida State,4,239,6419,3239,889,605,0.444,0.369,0.809,26.9,13.6,3.7,2.5,9.7,0.072,-0.3,2.7
12,12,SAC,Tyrese Haliburton,Iowa State,4,260,8547,4483,960,2274,0.478,0.393,0.856,32.9,17.2,3.7,8.7,27.2,0.153,4.5,14.0
13,13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,0.397,0.294,0.848,13.3,5.2,1.3,1.8,1.3,0.036,-3.5,-0.6
14,14,BOS,Aaron Nesmith,Vanderbilt,4,243,5054,2029,768,251,0.452,0.374,0.808,20.8,8.3,3.2,1.0,7.6,0.072,-2.2,-0.2
